segment,factors,bin_label,n,win_roi,place_roi,confidence
GLOBAL,yuso_kubun+chokyoshimei,2|田中剛,395,57.4,69.5,0.705
GLOBAL,yuso_kubun+chokyoshimei,2|田中博康,267,53.8,67.2,0.633
GLOBAL,yuso_kubun+chokyoshimei,2|田中清隆,239,67.7,94.6,0.612
GLOBAL,yuso_kubun+chokyoshimei,2|田島俊明,478,55.4,84.6,0.738
GLOBAL,yuso_kubun+chokyoshimei,2|田村康仁,640,71.6,61.5,0.784
GLOBAL,yuso_kubun+chokyoshimei,2|畠山吉宏,494,68.5,68.6,0.743
GLOBAL,yuso_kubun+chokyoshimei,2|的場均,209,47.3,50.7,0.586
GLOBAL,yuso_kubun+chokyoshimei,2|相沢郁,590,89.1,74.7,0.772
GLOBAL,yuso_kubun+chokyoshimei,2|矢作芳人,122,92.2,64.1,0.483
GLOBAL,yuso_kubun+chokyoshimei,2|矢嶋大樹,77,40.9,66.6,0.402
GLOBAL,yuso_kubun+chokyoshimei,2|矢野英一,520,67.3,69.8,0.752
GLOBAL,yuso_kubun+chokyoshimei,2|石栗龍彦,261,59.7,95.2,0.628
GLOBAL,yuso_kubun+chokyoshimei,2|石毛善彦,293,76.5,57.9,0.65
