bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
松岡正海|6,247,10,,4.0,,19.9,51.2,X
松岡正海|7,216,13,,6.0,,79.9,98.1,O
松岡正海|8,223,15,,6.7,,127.1,77.4,X
松本大輝|1,63,3,,4.8,,38.7,39.2,X
松本大輝|2,51,2,,3.9,,14.6,55.4,X
松本大輝|3,71,9,,12.7,,157.2,60.4,X
松本大輝|4,65,5,,7.7,,191.1,64.7,X
松本大輝|5,65,5,,7.7,,109.1,94.7,O
松本大輝|6,62,7,,11.3,,117.8,124.7,O
松本大輝|7,71,3,,4.2,,62.5,61.3,X
松本大輝|8,72,3,,4.2,,31.7,51.8,X
松田大作|1,71,5,,7.0,,100.5,109.7,O
松田大作|2,80,8,,10.0,,137.8,113.2,O
松田大作|3,85,9,,10.6,,122.1,123.2,O
松田大作|4,94,3,,3.2,,55.2,62.7,X
松田大作|5,98,6,,6.1,,63.8,86.0,O
松田大作|6,97,10,,10.3,,108.7,51.9,X
松田大作|7,107,14,,13.1,,187.0,75.6,X
松田大作|8,99,2,,2.0,,89.6,59.2,X
松若風馬|1,245,12,,4.9,,83.8,55.9,X
松若風馬|2,290,14,,4.8,,63.7,102.4,O
松若風馬|3,261,27,,10.3,,120.7,85.1,O
