segment,factors,factor1,factor2,factor3,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_01_芝,kyori_kubun+kyakushitsu+pace_shisu_juni,kyori_kubun,kyakushitsu,pace_shisu_juni,13,1488,76.43,8.77,71.66,False
KEIBAJO_SURFACE_01_芝,joken_class_code+umakigo_code+tenkai_kigo_code,joken_class_code,umakigo_code,tenkai_kigo_code,17,8510,76.53,10.23,71.66,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+pace_yoso+uma_start_shisu,kyori_kubun,pace_yoso,uma_start_shisu,18,3609,74.88,7.02,71.64,False
KEIBAJO_SURFACE_01_芝,kyori_tekisei+joshodo_code+ten_shisu_juni,kyori_tekisei,joshodo_code,ten_shisu_juni,46,7444,75.32,12.93,71.58,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+pace_yoso+ichi_shisu_juni,kyori_kubun,pace_yoso,ichi_shisu_juni,22,3491,75.61,9.73,71.55,False
KEIBAJO_SURFACE_01_芝,joken_class_code+kyakushitsu+joshodo_code,joken_class_code,kyakushitsu,joshodo_code,20,9412,74.76,7.36,71.54,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+kyakushitsu+umakigo_code,kyori_kubun,kyakushitsu,umakigo_code,18,8923,74.34,6.1,71.53,False
KEIBAJO_SURFACE_01_芝,uma_start_shisu+joshodo_code+umakigo_code,uma_start_shisu,joshodo_code,umakigo_code,16,7444,74.74,6.58,71.52,False
KEIBAJO_SURFACE_01_芝,manken_shirushi+joken_class_code+umakigo_code,manken_shirushi,joken_class_code,umakigo_code,21,4814,75.79,9.99,71.52,False
KEIBAJO_SURFACE_01_芝,kyori_tekisei_2+kyori_tekisei+joshodo_code,kyori_tekisei_2,kyori_tekisei,joshodo_code,3,1525,76.43,4.38,71.48,False
KEIBAJO_SURFACE_01_芝,kyori_tekisei+kyakushitsu+ichi_shisu_juni,kyori_tekisei,kyakushitsu,ichi_shisu_juni,15,2595,76.38,9.73,71.45,False
KEIBAJO_SURFACE_01_芝,rotation+kyakushitsu+umakigo_code,rotation,kyakushitsu,umakigo_code,22,5689,75.09,8.74,71.44,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+joken_class_code+kyakushitsu,kyori_kubun,joken_class_code,kyakushitsu,35,7763,74.34,8.73,71.44,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+kyori_tekisei+uma_start_shisu,kyori_kubun,kyori_tekisei,uma_start_shisu,16,3339,75.95,9.21,71.44,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+joken_class_code+uma_deokure_ritsu,kyori_kubun,joken_class_code,uma_deokure_ritsu,10,2578,75.74,6.94,71.44,False
KEIBAJO_SURFACE_01_芝,joken_class_code+joshodo_code+tenkai_kigo_code,joken_class_code,joshodo_code,tenkai_kigo_code,19,8850,75.54,9.2,71.4,False
KEIBAJO_SURFACE_01_芝,pace_shisu_juni+ichi_shisu_juni+joshodo_code,pace_shisu_juni,ichi_shisu_juni,joshodo_code,11,1451,77.75,10.79,71.37,False
KEIBAJO_SURFACE_01_芝,pace_yoso+manken_shirushi+joken_class_code,pace_yoso,manken_shirushi,joken_class_code,23,3128,76.2,11.85,71.35,False
KEIBAJO_SURFACE_01_芝,manken_shirushi+umakigo_code+tenkai_kigo_code,manken_shirushi,umakigo_code,tenkai_kigo_code,19,4431,77.43,13.54,71.34,False
KEIBAJO_SURFACE_01_芝,hizume_code+ichi_shisu_juni+umakigo_code,hizume_code,ichi_shisu_juni,umakigo_code,28,3460,75.48,11.2,71.33,False
KEIBAJO_SURFACE_01_芝,rotation+kyakushitsu+joshodo_code,rotation,kyakushitsu,joshodo_code,23,6171,74.54,7.94,71.3,False
KEIBAJO_SURFACE_01_芝,joken_class_code+class_code+tenkai_kigo_code,joken_class_code,class_code,tenkai_kigo_code,19,6573,76.51,11.61,71.29,False
KEIBAJO_SURFACE_01_芝,joken_class_code+rotation+joshodo_code,joken_class_code,rotation,joshodo_code,22,5880,75.58,10.29,71.28,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+kyakushitsu+ichi_shisu_juni,kyori_kubun,kyakushitsu,ichi_shisu_juni,25,3772,74.94,9.41,71.25,False
KEIBAJO_SURFACE_01_芝,pace_yoso+kyori_tekisei_2+kyori_tekisei,pace_yoso,kyori_tekisei_2,kyori_tekisei,6,1526,76.55,6.72,71.18,False
KEIBAJO_SURFACE_01_芝,joken_class_code+kyakushitsu+ichi_shisu_juni,joken_class_code,kyakushitsu,ichi_shisu_juni,19,3156,75.82,10.31,71.18,False
KEIBAJO_SURFACE_01_芝,joken_class_code+kyori_tekisei+uma_start_shisu,joken_class_code,kyori_tekisei,uma_start_shisu,10,2135,74.43,5.29,71.15,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+kyakushitsu+hizume_code,kyori_kubun,kyakushitsu,hizume_code,21,3631,74.04,6.78,71.14,False
KEIBAJO_SURFACE_01_芝,pace_yoso+kyakushitsu+umakigo_code,pace_yoso,kyakushitsu,umakigo_code,14,8991,74.71,6.81,71.14,False
KEIBAJO_SURFACE_01_芝,kyakushitsu+uma_deokure_ritsu+ichi_shisu_juni,kyakushitsu,uma_deokure_ritsu,ichi_shisu_juni,8,1384,75.22,5.9,71.13,False
KEIBAJO_SURFACE_01_芝,rotation+kyori_tekisei+kyakushitsu,rotation,kyori_tekisei,kyakushitsu,18,2668,77.08,12.87,71.13,False
KEIBAJO_SURFACE_01_芝,joken_class_code+kyakushitsu+tenkai_kigo_code,joken_class_code,kyakushitsu,tenkai_kigo_code,30,8141,75.08,11.06,71.12,False
KEIBAJO_SURFACE_01_芝,hizume_code+umakigo_code+ten_shisu_juni,hizume_code,umakigo_code,ten_shisu_juni,26,3159,75.12,10.43,71.11,False
KEIBAJO_SURFACE_01_芝,manken_shirushi+ichi_shisu_juni+umakigo_code,manken_shirushi,ichi_shisu_juni,umakigo_code,6,930,77.21,7.62,71.11,False
KEIBAJO_SURFACE_01_芝,pace_yoso+joken_class_code+uma_start_shisu,pace_yoso,joken_class_code,uma_start_shisu,14,3164,74.88,7.21,71.1,False
KEIBAJO_SURFACE_01_芝,kyori_tekisei+ichi_shisu_juni+joshodo_code,kyori_tekisei,ichi_shisu_juni,joshodo_code,43,7826,73.96,9.58,71.09,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+umakigo_code+tenkai_kigo_code,kyori_kubun,umakigo_code,tenkai_kigo_code,17,8782,75.56,9.4,71.09,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+pace_shisu_juni+joshodo_code,kyori_kubun,pace_shisu_juni,joshodo_code,37,7087,74.11,9.42,71.08,False
KEIBAJO_SURFACE_01_芝,joken_class_code+kyori_tekisei+tenkai_kigo_code,joken_class_code,kyori_tekisei,tenkai_kigo_code,26,6949,75.23,10.83,71.07,False
KEIBAJO_SURFACE_01_芝,pace_yoso+manken_shirushi+uma_start_shisu,pace_yoso,manken_shirushi,uma_start_shisu,4,455,84.76,13.98,71.06,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+kyakushitsu+joshodo_code,kyori_kubun,kyakushitsu,joshodo_code,18,9391,73.81,5.98,71.05,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+pace_yoso+manken_shirushi,kyori_kubun,pace_yoso,manken_shirushi,17,2372,76.91,12.36,71.04,False
KEIBAJO_SURFACE_01_芝,uma_deokure_ritsu+joshodo_code+umakigo_code,uma_deokure_ritsu,joshodo_code,umakigo_code,19,6373,75.71,10.42,71.03,False
KEIBAJO_SURFACE_01_芝,pace_yoso+pace_shisu_juni+umakigo_code,pace_yoso,pace_shisu_juni,umakigo_code,35,8436,73.75,8.24,71.02,False
KEIBAJO_SURFACE_01_芝,joken_class_code+uma_deokure_ritsu+tenkai_kigo_code,joken_class_code,uma_deokure_ritsu,tenkai_kigo_code,12,2655,78.07,12.49,71.0,False
KEIBAJO_SURFACE_01_芝,manken_shirushi+kyakushitsu+tenkai_kigo_code,manken_shirushi,kyakushitsu,tenkai_kigo_code,16,2251,75.77,9.78,70.98,False
KEIBAJO_SURFACE_01_芝,pace_yoso+kyakushitsu+pace_shisu_juni,pace_yoso,kyakushitsu,pace_shisu_juni,22,2843,76.31,12.78,70.97,False
KEIBAJO_SURFACE_01_芝,kyori_tekisei+class_code+joshodo_code,kyori_tekisei,class_code,joshodo_code,20,6814,76.84,13.52,70.91,False
KEIBAJO_SURFACE_01_芝,kyakushitsu+umakigo_code+ten_shisu_juni,kyakushitsu,umakigo_code,ten_shisu_juni,43,7606,74.24,11.16,70.91,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+joken_class_code+ichi_shisu,kyori_kubun,joken_class_code,ichi_shisu,3,994,73.79,2.54,70.91,False
