segment,factors,combo_clb,oot_clb,oot_n_bins,oot_n_bets,oot_roi_2023,oot_roi_2024,oot_roi_2025,oot_min_yearly_roi,f1_pass,f1_reason,has_shirushi,best_shirushi_clb,optimal_odds_t,optimal_rank_t,f2_pass,f2_reason,max_subset_clb,cross_gain,f3_pass,f3_reason,all_pass
KEIBAJO_SURFACE_07_ダ,bac_shubetsu+gekiso_juni+yoso_juni,84.91,77.77,9,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,72.88,12.03,True,pass,True
KEIBAJO_SURFACE_03_ダ,joken_class_code+prev1_chakujun+yoso_juni,84.88,81.15,4,3276,74.13,74.38,72.33,72.33,True,pass,False,,,,True,no_shirushi_auto_pass,74.26,10.62,True,pass,True
KEIBAJO_SURFACE_01_ダ,babajotai_heavy+goal_sa+kyori_tekisei,84.88,75.29,4,2167,75.19,75.9,77.55,75.19,True,pass,False,,,,True,no_shirushi_auto_pass,73.83,11.05,True,pass,True
KEIBAJO_SURFACE_01_ダ,babajotai_code_dirt+goal_sa+kyori_tekisei,84.88,75.29,4,2167,75.19,75.9,77.55,75.19,True,pass,False,,,,True,no_shirushi_auto_pass,73.53,11.35,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+joa_ls_shisu+kijun_odds_fukusho,84.87,89.59,3,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,80.64,4.23,True,pass,True
KEIBAJO_SURFACE_08_ダ,goal_sa+shirushi_code_2+taikei_tomo,84.87,80.66,6,7800,78.64,80.24,80.5,78.64,True,pass,True,90.9,5.0,3.0,True,pass,74.78,10.09,True,pass,True
KEIBAJO_SURFACE_01_ダ,agari_shisu_juni+sanchimei+tenkai_kigo_code,84.79,86.14,12,2167,75.19,75.9,75.45,75.19,True,pass,False,,,,True,no_shirushi_auto_pass,77.17,7.62,True,pass,True
KEIBAJO_SURFACE_08_ダ,goal_sa+kyori_tekisei+sanchimei,84.78,77.74,22,7800,74.17,73.65,75.72,73.65,True,pass,False,,,,True,no_shirushi_auto_pass,71.46,13.32,True,pass,True
KEIBAJO_SURFACE_06_芝,goal_sa+kijun_ninkijun_tansho+manken_shirushi,84.77,87.02,5,6647,75.54,77.9,75.1,75.1,True,pass,False,,,,True,no_shirushi_auto_pass,73.48,11.29,True,pass,True
KEIBAJO_SURFACE_08_芝,goal_juni+shutoku_shokin_ruikei+yoso_juni,84.76,80.09,21,6414,74.86,74.51,74.31,74.31,True,pass,False,,,,True,no_shirushi_auto_pass,67.74,17.02,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_odds_fukusho+ls_shisu_juni,84.74,91.04,2,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,80.64,4.1,True,pass,True
KEIBAJO_SURFACE_07_ダ,gekiso_juni+kijun_ninkijun_tansho+yoso_juni,84.7,84.02,3,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,70.76,13.94,True,pass,True
